statistical significance	sample (statistics)	0
statistical significance	Accuracy and precision	0
statistical significance	Statistical population	-1
statistical significance	standard deviation	-1
statistical significance	data analysis	0
statistical significance	conditional probability	0
sensitivity and specificity	False positives and false negatives	-1
sensitivity and specificity	statistical significance	0
sensitivity and specificity	Confusion matrix	1
sensitivity and specificity	statistical classification	0
sensitivity and specificity	Accuracy and precision	0
sensitivity and specificity	Precision and recall	-1
Positive and negative predictive values	False positives and false negatives	1
Positive and negative predictive values	Gain (information retrieval)	0
Positive and negative predictive values	Confusion matrix	0
Positive and negative predictive values	Accuracy and precision	1
Accuracy and precision	Gain (information retrieval)	0
Accuracy and precision	Positive and negative predictive values	-1
Accuracy and precision	False positives and false negatives	-1
Mutation (genetic algorithm)	machine learning	0
Mutation (genetic algorithm)	fitness function	1
Mutation (genetic algorithm)	genetic algorithm	1
genetic algorithm	Mutation (genetic algorithm)	-1
genetic algorithm	fitness function	-1
genetic algorithm	Cluster analysis	0
genetic algorithm	natural selection	1
Precision and recall	null hypothesis	0
Precision and recall	Type I and type II errors	-1
Precision and recall	sensitivity and specificity	1
Precision and recall	Confusion matrix	0
Precision and recall	Receiver operating characteristic	0
Precision and recall	Accuracy and precision	0
Precision and recall	F1 score	1
Precision and recall	Arithmetic mean	0
Precision and recall	web search engine	0
Precision and recall	Information retrieval	0
likelihood function	Regression analysis	0
likelihood function	Statistical model	0
likelihood function	standard deviation	0
likelihood function	confidence interval	0
likelihood function	conditional probability	-1
likelihood function	maximum likelihood	1
likelihood function	prior probability	-1
likelihood function	posterior probability	-1
Regression analysis	statistical significance	0
Regression analysis	Stepwise regression	1
Regression analysis	statistical dispersion	0
Regression analysis	Outlier	0
Regression analysis	machine learning	0
Regression analysis	standard deviation	0
Regression analysis	least squares	0
Regression analysis	Arithmetic mean	0
Regression analysis	confidence interval	0
Regression analysis	linear regression	1
Regression analysis	Data mining	0
Regression analysis	Poisson regression	1
confidence interval	sample (statistics)	0
confidence interval	statistical significance	0
confidence interval	sensitivity and specificity	0
confidence interval	Statistical hypothesis testing	0
confidence interval	Median	0
confidence interval	standard deviation	-1
confidence interval	joint probability distribution	0
confidence interval	maximum likelihood	0
confidence interval	Bayes' theorem	0
conditional probability	Bayesian network	1
conditional probability	Decision tree	0
conditional probability	Naive Bayes classifier	0
conditional probability	Conditional probability distribution	1
conditional probability	Association rule learning	0
conditional probability	joint probability distribution	1
conditional probability	linear regression	0
conditional probability	Mixture model	0
conditional probability	prior probability	1
conditional probability	conditional independence	0
conditional probability	posterior probability	1
conditional probability	Bayes' theorem	1
maximum likelihood	Bayesian network	0
maximum likelihood	probability density function	-1
maximum likelihood	likelihood function	-1
maximum likelihood	Statistical model	0
maximum likelihood	linear regression	0
maximum likelihood	Mixture model	0
maximum likelihood	prior probability	0
maximum likelihood	Expectation-maximization algorithm	1
probability density function	Conditional probability distribution	0
probability density function	Median	0
probability density function	likelihood function	0
probability density function	maximum likelihood	0
